from,to,distance_km,transport_mode,emissions_kgCO2e
MIA,USA_LVG,3504.981497180702,air,23686.66495794718
MIA,QAT,12316.348476053488,air,83233.88300116947
MON,SAU,3821.962030463832,air,25828.819401874578
MON,NED,1178.4082057218973,land,972.1867697205653
MON,MONZ,308.3581416952689,land,254.39546689859685
MON,SIN,10415.87539551604,air,70390.4859228974
MON,USA_COT,8820.529293995125,air,59609.13696881905
MON,USA_LVG,9407.813605754634,air,63578.00434768981
MON,QAT,4453.622515508422,air,30097.580959805917
CAN,SAU,9943.954029769267,air,67201.24133318072
CAN,JPN,10576.775986315983,air,71477.85211552342
CAN,CHN,11348.554186121211,air,76693.52918980714
CAN,MIA,2271.942463965169,air,15353.787171476612
CAN,MON,6124.817096192594,air,41391.513936069554
CAN,ESP,5899.697486680904,air,39870.155614989555
CAN,MAD,5531.899721431199,air,37384.578317432046
CAN,GBR,5138.854293468485,air,34728.37731526002
CAN,HUN,6645.427341726617,air,44909.79797538848
CAN,NED,5473.914810428657,air,36992.716288876865
CAN,MONZ,6135.938818598155,air,41466.674536086335
CAN,SIN,14798.113703650866,air,100005.65240927256
CAN,USA_COT,2696.06718202201,air,18220.022016104744
CAN,USA_LVG,3604.275118615437,air,24357.691251603123
CAN,MEX,3728.871643212185,air,25199.714564827947
CAN,QAT,10375.172143318543,air,70115.41334454672
ESP,SAU,4097.759996311618,air,27692.662055073914
ESP,JPN,10343.03492194323,air,69898.23000249235
ESP,MIA,7543.700773766475,air,50980.32982911384
ESP,MON,604.0973780330771,land,498.38033687728864
ESP,MAD,606.8052881778451,land,500.6143627467223
ESP,GBR,1458.3015229014106,land,1203.0987563936637
ESP,HUN,1818.1662578307526,land,1499.987162710371
ESP,NED,1480.192839828614,land,1221.1590928586068
ESP,MONZ,890.99430727835,land,735.0703035046388
ESP,SIN,10874.86636530999,air,73492.34689676492
ESP,USA_COT,8583.881040689854,air,58009.868072982026
ESP,USA_LVG,9291.964915697634,air,62795.09890028461
ESP,MEX,9489.82837734712,air,64132.260174111834
ESP,QAT,4837.522264654984,air,32691.97546453838
MAD,SAU,4536.028364535821,air,30654.479687533083
MAD,MIA,7090.141457719971,air,47915.17597127157
MAD,MON,1186.9467360758863,land,979.2310572626062
MAD,NED,1762.075696611414,land,1453.7124497044167
MAD,MONZ,1442.9279347012084,land,1190.415546128497
MAD,SIN,11380.350652046285,air,76908.4097065288
MAD,USA_COT,8196.191723493745,air,55389.86366737073
MAD,USA_LVG,8997.311656640497,air,60803.83217557648
MAD,MEX,9062.67394265169,air,61245.55050444012
MAD,QAT,5325.2844509694205,air,35988.27231965134
AUT,BAH,3909.383216691275,air,26419.611778399638
AUT,SAU,3594.8574043505623,air,24294.0463386011
AUT,JPN,9202.221582687167,air,62188.613455799874
AUT,CHN,8635.145760115705,air,58356.315046861935
AUT,MIA,8292.11919281482,air,56038.14150504256
