from,to,distance_km,transport_mode,emissions_kgCO2e
QAT,SAU,1329.9005493930053,air,8987.467912797929
QAT,SIN,6202.821220484903,air,41918.665808036974
QAT,USA_COT,13010.162183749107,air,87922.67603777647
QAT,USA_LVG,13025.068471037772,air,88023.41272727326
ABD,BAH,426.2592838222581,air,2880.6602400708207
ABD,SAU,1588.3012327025656,air,10733.739730603938
ABD,AUS,11690.862082192443,air,79006.84595145653
ABD,JPN,7810.869747890383,air,52785.85775624321
ABD,CHN,6541.345030192229,air,44206.40971403909
ABD,MIA,12596.567056570564,air,85127.60016830386
ABD,MON,4745.801263580564,air,32072.124939277455
ABD,CAN,10626.85122510435,air,71816.2605792552
ABD,ESP,5136.015892459492,air,34709.195401241246
ABD,MAD,5625.732519211941,air,38018.700364834294
ABD,AUT,4304.587914821672,air,29090.40512836486
ABD,GBR,5548.231586920099,air,37494.949064406035
ABD,HUN,4017.8226946249,air,27152.445770275073
ABD,BEL,5032.871025061088,air,34012.14238736284
ABD,NED,5188.521105590568,air,35064.02563158106
ABD,MONZ,4650.328787086839,air,31426.921943132857
ABD,SIN,5895.630816457552,air,39842.67305762014
ABD,AZE,1820.3687177727497,air,12302.051794708243
ABD,USA_COT,13242.74232181497,air,89494.45261082558
ABD,USA_LVG,13185.129798456963,air,89105.10717797217
ABD,MEX,14354.586961809024,air,97008.2986879054
ABD,BRA,12114.943847450264,air,81872.79052106889
ABD,QAT,307.61184034919756,air,2078.840817079877
MER,BAH,5227.3875662897735,air,35326.68517298629
MER,SAU,4901.608901327884,air,33125.07295517385
MER,AUS,16987.33521190148,air,114800.41136203021
MER,JPN,9500.708880576838,air,64205.790614938276
MER,CHN,9210.594007057123,air,62245.19429969204
MER,MIA,6989.612434124826,air,47235.80082981557
MER,MON,1429.5245523295926,land,1179.3577556719138
MER,CAN,5067.487425795543,air,34246.08002352628
MER,ESP,1526.0437414584796,land,1258.986086703246
MER,MAD,1617.9586825500523,land,1334.8159131037933
MER,AUT,1593.685648177031,land,1314.7906597460506
MER,GBR,88.3163176502664,land,72.86096206146978
MER,HUN,1916.8654790665507,land,1581.4140202299043
MER,BEL,708.0610412593588,land,584.1503590389711
MER,NED,523.9593941194909,land,432.26650014858
MER,MONZ,1334.716821755561,land,1101.141377948338
MER,SIN,10942.356337029389,air,73948.44412564462
MER,AZE,4087.745803374578,air,27624.986139205397
MER,USA_COT,7754.708157684395,air,52406.31772963114
MER,USA_LVG,8239.176799703508,air,55680.35681239631
MER,MEX,8779.346299781731,air,59330.822293924946
MER,BRA,9499.025499295805,air,64194.41432424105
MER,QAT,5344.640020160108,air,36119.07725624201
MER,ABD,5615.181871255681,air,37947.399085945886
RBR,BAH,5083.849541952843,air,34356.655204517316
RBR,SAU,4742.868871589337,air,32052.30783420074
RBR,AUS,16903.697614052297,air,114235.18847576542
RBR,JPN,9523.222206687215,air,64357.9356727922
RBR,CHN,9196.463665234258,air,62149.70144965312
RBR,MIA,7126.000350317629,air,48157.510367446535
RBR,MON,1237.7695756308499,land,1021.1598998954512
RBR,CAN,5220.892925480432,air,35282.79439039676
RBR,ESP,1367.3332793031593,land,1128.0499554251064
RBR,MAD,1516.0975558593286,land,1250.7804835839463
RBR,AUT,1413.7997351038348,land,1166.3847814606638
RBR,GBR,107.57688264021131,land,88.75092817817433
RBR,HUN,1749.6588675222736,land,1443.4685657058758
RBR,BEL,530.3507262101492,land,437.53934912337314
RBR,NED,400.0287915738761,land,330.02375304844776
RBR,MONZ,1139.721172423513,land,940.2699672493983
RBR,SIN,10847.37965551725,air,73306.59171198559
RBR,AZE,3969.9326871347207,air,26828.80509965644
RBR,USA_COT,7910.079486235547,air,53456.317167979825
RBR,USA_LVG,8401.772163176644,air,56779.17627874776
RBR,MEX,8928.726748110446,air,60340.335363730395
RBR,BRA,9497.425213302857,air,64183.59959150071
RBR,QAT,5201.601814636079,air,35152.42506331063
RBR,ABD,5474.542555317951,air,36996.958588838716
FER,BAH,4051.938210700812,air,27382.99842791609
FER,SAU,3604.904314680004,air,24361.943358607467
FER,AUS,16115.472457845271,air,108908.36287011835
FER,JPN,9604.985003213402,air,64910.48865171617
FER,CHN,9025.79303718953,air,60996.309345326845
FER,MIA,8149.538581934372,air,55074.58173671249
FER,MON,388.3357181086307,land,320.37696743962033
FER,CAN,6341.212091987668,air,42853.91131765266
FER,ESP,986.1440590567229,land,813.5688487217965
FER,MAD,1575.1454139326893,land,1299.4949664944688
FER,AUT,483.60550986454984,land,398.97454563825363
FER,GBR,1490.8033535237107,land,1229.9127666570614
FER,HUN,839.8699085127342,land,692.8926745230058
FER,BEL,925.9060384472417,land,763.8724817189744
FER,NED,1209.0917485614107,land,997.5006925631639
FER,MONZ,247.37371333962724,land,204.08331350519248
FER,SIN,10098.14275816927,air,68243.24875970793
FER,AZE,3162.0600000911586,air,21369.201480616048
FER,USA_COT,9036.439660411317,air,61068.259225059686
FER,USA_LVG,9554.000436670443,air,64565.93495101886
FER,MEX,10021.237091156552,air,67723.52026203598
FER,BRA,9582.103698778861,air,64755.85679634754
FER,QAT,4172.391312775164,air,28197.020491734558
FER,ABD,4460.682308793085,air,30145.291042823672
MCL,BAH,5083.849541952843,air,34356.655204517316
MCL,SAU,4742.868871589337,air,32052.30783420074
MCL,AUS,16903.697614052297,air,114235.18847576542
MCL,JPN,9523.222206687215,air,64357.9356727922
MCL,CHN,9196.463665234258,air,62149.70144965312
MCL,MIA,7126.000350317629,air,48157.510367446535
MCL,MON,1237.7695756308499,land,1021.1598998954512
MCL,CAN,5220.892925480432,air,35282.79439039676
MCL,ESP,1367.3332793031593,land,1128.0499554251064
MCL,MAD,1516.0975558593286,land,1250.7804835839463
MCL,AUT,1413.7997351038348,land,1166.3847814606638
MCL,GBR,107.57688264021131,land,88.75092817817433
MCL,HUN,1749.6588675222736,land,1443.4685657058758
MCL,BEL,530.3507262101492,land,437.53934912337314
MCL,NED,400.0287915738761,land,330.02375304844776
MCL,MONZ,1139.721172423513,land,940.2699672493983
MCL,SIN,10847.37965551725,air,73306.59171198559
MCL,AZE,3969.9326871347207,air,26828.80509965644
MCL,USA_COT,7910.079486235547,air,53456.317167979825
MCL,USA_LVG,8401.772163176644,air,56779.17627874776
MCL,MEX,8928.726748110446,air,60340.335363730395
MCL,BRA,9497.425213302857,air,64183.59959150071
MCL,QAT,5201.601814636079,air,35152.42506331063
MCL,ABD,5474.542555317951,air,36996.958588838716
AMR,BAH,5227.3875662897735,air,35326.68517298629
AMR,SAU,4901.608901327884,air,33125.07295517385
AMR,AUS,16987.33521190148,air,114800.41136203021
AMR,JPN,9500.708880576838,air,64205.790614938276
AMR,CHN,9210.594007057123,air,62245.19429969204
AMR,MIA,6989.612434124826,air,47235.80082981557
AMR,MON,1429.5245523295926,land,1179.3577556719138
AMR,CAN,5067.487425795543,air,34246.08002352628
AMR,ESP,1526.0437414584796,land,1258.986086703246
AMR,MAD,1617.9586825500523,land,1334.8159131037933
AMR,AUT,1593.685648177031,land,1314.7906597460506
AMR,GBR,88.3163176502664,land,72.86096206146978
AMR,HUN,1916.8654790665507,land,1581.4140202299043
AMR,BEL,708.0610412593588,land,584.1503590389711
AMR,NED,523.9593941194909,land,432.26650014858
AMR,MONZ,1334.716821755561,land,1101.141377948338
AMR,SIN,10942.356337029389,air,73948.44412564462
AMR,AZE,4087.745803374578,air,27624.986139205397
AMR,USA_COT,7754.708157684395,air,52406.31772963114
AMR,USA_LVG,8239.176799703508,air,55680.35681239631
AMR,MEX,8779.346299781731,air,59330.822293924946
AMR,BRA,9499.025499295805,air,64194.41432424105
AMR,QAT,5344.640020160108,air,36119.07725624201
AMR,ABD,5615.181871255681,air,37947.399085945886
WIL,BAH,5083.849541952843,air,34356.655204517316
WIL,SAU,4742.868871589337,air,32052.30783420074
WIL,AUS,16903.697614052297,air,114235.18847576542
WIL,JPN,9523.222206687215,air,64357.9356727922
WIL,CHN,9196.463665234258,air,62149.70144965312
WIL,MIA,7126.000350317629,air,48157.510367446535
WIL,MON,1237.7695756308499,land,1021.1598998954512
WIL,CAN,5220.892925480432,air,35282.79439039676
WIL,ESP,1367.3332793031593,land,1128.0499554251064
WIL,MAD,1516.0975558593286,land,1250.7804835839463
WIL,AUT,1413.7997351038348,land,1166.3847814606638
WIL,GBR,107.57688264021131,land,88.75092817817433
WIL,HUN,1749.6588675222736,land,1443.4685657058758
WIL,BEL,530.3507262101492,land,437.53934912337314
WIL,NED,400.0287915738761,land,330.02375304844776
WIL,MONZ,1139.721172423513,land,940.2699672493983
WIL,SIN,10847.37965551725,air,73306.59171198559
WIL,AZE,3969.9326871347207,air,26828.80509965644
WIL,USA_COT,7910.079486235547,air,53456.317167979825
WIL,USA_LVG,8401.772163176644,air,56779.17627874776
WIL,MEX,8928.726748110446,air,60340.335363730395
WIL,BRA,9497.425213302857,air,64183.59959150071
WIL,QAT,5201.601814636079,air,35152.42506331063
WIL,ABD,5474.542555317951,air,36996.958588838716
ALP,BAH,5083.849541952843,air,34356.655204517316
ALP,SAU,4742.868871589337,air,32052.30783420074
ALP,AUS,16903.697614052297,air,114235.18847576542
ALP,JPN,9523.222206687215,air,64357.9356727922
ALP,CHN,9196.463665234258,air,62149.70144965312
ALP,MIA,7126.000350317629,air,48157.510367446535
ALP,MON,1237.7695756308499,land,1021.1598998954512
ALP,CAN,5220.892925480432,air,35282.79439039676
ALP,ESP,1367.3332793031593,land,1128.0499554251064
ALP,MAD,1516.0975558593286,land,1250.7804835839463
ALP,AUT,1413.7997351038348,land,1166.3847814606638
ALP,GBR,107.57688264021131,land,88.75092817817433
ALP,HUN,1749.6588675222736,land,1443.4685657058758
ALP,BEL,530.3507262101492,land,437.53934912337314
ALP,NED,400.0287915738761,land,330.02375304844776
ALP,MONZ,1139.721172423513,land,940.2699672493983
ALP,SIN,10847.37965551725,air,73306.59171198559
ALP,AZE,3969.9326871347207,air,26828.80509965644
ALP,USA_COT,7910.079486235547,air,53456.317167979825
ALP,USA_LVG,8401.772163176644,air,56779.17627874776
ALP,MEX,8928.726748110446,air,60340.335363730395
ALP,BRA,9497.425213302857,air,64183.59959150071
ALP,QAT,5201.601814636079,air,35152.42506331063
ALP,ABD,5474.542555317951,air,36996.958588838716
SAU,BAH,4355.148357933981,air,29432.092602917844
SAU,SAU,3967.9837962140487,air,26815.63449481454
SAU,AUS,16345.857828585593,air,110465.30720558144
SAU,JPN,9507.267736309246,air,64250.115361977885
SAU,CHN,9010.187694547878,air,60890.84843975456
SAU,MIA,7841.931249619253,air,52995.77138492691
SAU,MON,495.9573539808942,land,409.1648170342377
SAU,CAN,5987.214181134003,air,40461.5934361036
SAU,ESP,1003.0497496829357,land,827.5160434884219
SAU,MAD,1496.3558933429251,land,1234.4936120079133
SAU,AUT,565.4129084345124,land,466.46564945847274
SAU,GBR,1036.388268314711,land,855.0203213596367
SAU,HUN,964.2789110592721,land,795.5301016238994
SAU,BEL,463.40479192493024,land,382.30895333806745
SAU,NED,748.8344103221472,land,617.7883885157714
SAU,MONZ,241.2044746270071,land,198.99369156728088
SAU,SIN,10293.418969810251,air,69562.92539797768
SAU,AZE,3358.100085402072,air,22694.040377147205
SAU,USA_COT,8679.756713170713,air,58657.79586760768
SAU,USA_LVG,9170.696667738885,air,61975.56808057939
SAU,MEX,9683.067891963476,air,65438.17281388917
SAU,BRA,9621.662650217932,air,65023.196190172785
SAU,QAT,4474.492945386452,air,30238.623324921646
SAU,ABD,4755.8538140623405,air,32140.0600754333
HAA,BAH,5083.849541952843,air,34356.655204517316
HAA,SAU,4742.868871589337,air,32052.30783420074
HAA,AUS,16903.697614052297,air,114235.18847576542
