,first_race_circuit,last_race_circuit,objective_value,model_status,solver_time
0,AUS,BAH,5010845.500789021,ModelStatus.OptimalGlobal,23.6389999743551
1,AUS,SAU,4910899.3963777395,ModelStatus.OptimalGlobal,85.38499942515045
2,AUS,JPN,5297791.6062330175,ModelStatus.OptimalGlobal,80.49399987794459
3,AUS,CHN,5364361.426854305,ModelStatus.OptimalGlobal,180.92299962881953
4,AUS,MIA,5236700.06592211,ModelStatus.OptimalGlobal,156.9529997650534
5,AUS,MON,4849630.0952396,ModelStatus.OptimalGlobal,154.58900006487966
6,AUS,CAN,1500134.3461191508,ModelStatus.InfeasibleGlobal,4.2999999364838
7,AUS,ESP,4856036.966247738,ModelStatus.OptimalGlobal,241.55099946074188
8,AUS,MAD,1141815.8158378298,ModelStatus.InfeasibleGlobal,4.900999995879829
9,AUS,AUT,1138784.7180162359,ModelStatus.InfeasibleGlobal,4.195000254549086
10,AUS,GBR,1132963.1204683932,ModelStatus.InfeasibleGlobal,6.303000287152827
11,AUS,HUN,1141620.2843683646,ModelStatus.InfeasibleGlobal,5.057000205852091
12,AUS,BEL,1134324.8494291764,ModelStatus.InfeasibleGlobal,4.534000251442194
13,AUS,NED,1134186.239587887,ModelStatus.InfeasibleGlobal,4.559000115841627
14,AUS,MONZ,1136569.590959427,ModelStatus.InfeasibleGlobal,5.1949998596683145
15,AUS,SIN,5516882.097576109,ModelStatus.OptimalGlobal,194.1000001737848
16,AUS,AZE,4982875.891304966,ModelStatus.OptimalGlobal,60.622000065632164
17,AUS,USA_COT,5162694.378156169,ModelStatus.OptimalGlobal,43.56100014410913
18,AUS,USA_LVG,5185335.812939223,ModelStatus.OptimalGlobal,176.36199980042875
19,AUS,MEX,5304395.302941647,ModelStatus.OptimalGlobal,241.51000001002103
20,AUS,BRA,4943264.4337456,ModelStatus.OptimalGlobal,155.60300017241389
21,AUS,QAT,4950483.41700894,ModelStatus.OptimalGlobal,50.47200042754412
22,AUS,ABD,5116557.16273142,ModelStatus.OptimalGlobal,99.15000032633543
